117 100 174 | 85 95
103 95 50 | 91 91
109 99 755 | 109 99
106 100 432 | 106 100
117 100 111 | 117 100
109 99 353 | 97 95
117 100 576 | 85 95
117 100 407 | 73 88
117 100 208 | 117 100
109 99 563 | 91 91
117 100 241 | 91 91
117 100 366 | 90 92
103 95 136 | 84 88
106 100 532 | 105 96
109 99 294 | 105 96
117 100 530 | 85 95
117 100 346 | 105 96
109 99 130 | 85 95
106 100 524 | 106 100
117 100 633 | 109 99
106 100 276 | 79 85
106 100 239 | 91 91
117 100 37 | 85 100
106 100 412 | 91 91
109 99 324 | 90 92
117 100 306 | 89 98
105 96 327 | 98 93
117 100 533 | 105 96
117 100 513 | 109 99
109 99 113 | 109 99
117 100 391 | 76 69
109 99 110 | 106 100
117 100 307 | 105 96
117 100 594 | 79 85
117 100 579 | 90 92
105 96 639 | 105 96
117 100 124 | 78 98
106 100 205 | 97 95
105 96 696 | 105 96
117 100 543 | 89 98
109 99 516 | 106 100
117 100 306 | 85 100
117 100 269 | 105 96
117 100 542 | 117 100
117 100 472 | 105 96
109 99 198 | 97 95
117 100 354 | 99 97
117 100 496 | 89 98
117 100 518 | 117 100
109 99 241 | 85 95
117 100 667 | 117 100
106 100 245 | 77 86
106 100 0 | 90 92
109 99 156 | 105 96
109 99 114 | 98 93
105 96 401 | 91 91
109 99 297 | 97 95
109 99 11 | 77 81
117 100 703 | 109 99
91 91 613 | 89 98
109 99 272 | 89 98
117 100 632 | 117 100
109 99 169 | 105 96
109 99 145 | 99 97
106 100 559 | 99 97
109 99 600 | 98 93
117 100 55 | 109 99
117 100 548 | 92 95
117 100 125 | 84 88
109 99 335 | 85 100
117 100 638 | 97 95
109 99 76 | 85 95
109 99 319 | 99 97
105 96 304 | 83 90
117 100 129 | 84 88
117 100 8 | 91 91
105 96 119 | 80 91
105 96 114 | 91 91
98 93 104 | 87 93
105 96 633 | 105 96
117 100 167 | 106 100
117 100 659 | 117 100
117 100 452 | 85 95
117 100 590 | 90 92
117 100 511 | 117 100
105 96 137 | 91 91
109 99 93 | 84 88
109 99 136 | 103 95
117 100 507 | 76 69
117 100 266 | 99 97
117 100 224 | 83 90
105 96 353 | 91 91
117 100 384 | 109 99
106 100 642 | 106 100
106 100 538 | 0 186
117 100 291 | 90 92
117 100 639 | 117 100
91 91 147 | 90 92
106 100 282 | 89 98
117 100 25 | 77 81
105 96 302 | 98 93
99 97 0 | 77 81
109 99 371 | 85 95
117 100 113 | 106 100
105 96 444 | 84 88
117 100 359 | 77 86
117 100 584 | 84 88
117 100 747 | 117 100
117 100 196 | 98 93
117 100 399 | 98 93
117 100 412 | 91 91
99 97 215 | 99 97
103 95 188 | 84 88
117 100 565 | 109 99
117 100 381 | 77 81
117 100 407 | 89 98
117 100 354 | 105 96
109 99 391 | 85 95
117 100 366 | 92 95
117 100 329 | 103 95
109 99 240 | 98 93
109 99 38 | 87 93
109 99 144 | 103 95
117 100 467 | 117 100
117 100 685 | 117 100
109 99 158 | 84 88
117 100 508 | 77 86
117 100 330 | 98 93
117 100 213 | 89 98
117 100 516 | 91 91
117 100 748 | 117 100
117 100 643 | 109 99
97 95 68 | 90 92
117 100 529 | 79 85
109 99 610 | 99 97
109 99 365 | 105 96
117 100 298 | 109 99
109 99 290 | 85 100
109 99 368 | 97 95
117 100 316 | 106 100
117 100 648 | 117 100
105 96 212 | 105 96
117 100 319 | 85 95
109 99 20 | 89 98
106 100 6 | 85 100
109 99 287 | 80 91
117 100 492 | 89 98
117 100 178 | 98 93
117 100 451 | 105 96
103 95 345 | 90 92
117 100 460 | 79 85
106 100 66 | 105 96
109 99 42 | 98 93
109 99 583 | 105 96
117 100 608 | 103 95
106 100 567 | 79 85
109 99 517 | 89 98
117 100 220 | 117 100
117 100 401 | 98 93
117 100 183 | 85 100
109 99 280 | 83 90
106 100 37 | 91 91
117 100 680 | 117 100
117 100 48 | 89 98
117 100 618 | 117 100
105 96 637 | 97 95
109 99 391 | 92 95
117 100 347 | 84 88
117 100 321 | 109 99
117 100 145 | 85 100
109 99 385 | 105 96
117 100 376 | 90 92
103 95 151 | 77 81
117 100 84 | 92 95
109 99 77 | 85 100
117 100 388 | 91 91
117 100 305 | 103 95
117 100 14 | 117 100
106 100 61 | 80 91
117 100 513 | 77 81
105 96 401 | 98 93
117 100 451 | 78 98
117 100 563 | 89 98
117 100 586 | 87 93
106 100 20 | 98 93
117 100 504 | 92 95
117 100 91 | 90 92
117 100 33 | 117 100
117 100 21 | 77 81
105 96 743 | 105 96
117 100 639 | 117 100
117 100 685 | 117 100
117 100 270 | 73 88
109 99 319 | 89 98
117 100 40 | 117 100
105 96 506 | 97 95
109 99 473 | 89 98
117 100 468 | 117 100
105 96 413 | 85 100
117 100 708 | 109 99
109 99 225 | 80 91
117 100 55 | 106 100
117 100 136 | 91 91
117 100 641 | 117 100
117 100 128 | 98 93
117 100 369 | 97 95
106 100 396 | 91 91
109 99 186 | 105 96
117 100 77 | 98 93
117 100 39 | 90 92
109 99 217 | 106 100
117 100 10 | 117 100
106 100 218 | 99 97
117 100 370 | 91 91
117 100 504 | 91 91
117 100 441 | 97 95
117 100 95 | 98 93
117 100 129 | 85 100
109 99 555 | 105 96
117 100 473 | 98 93
109 99 56 | 84 88
103 95 294 | 91 91
109 99 78 | 103 95
117 100 500 | 97 95
109 99 446 | 91 91
109 99 358 | 89 98
99 97 86 | 91 91
117 100 449 | 98 93
109 99 334 | 73 88
99 97 589 | 99 97
117 100 108 | 117 100
99 97 435 | 85 100
117 100 637 | 109 99
92 95 52 | 80 91
117 100 592 | 117 100
117 100 117 | 89 98
117 100 125 | 85 100
106 100 570 | 78 98
109 99 447 | 85 100
117 100 429 | 77 86
117 100 495 | 91 91
117 100 196 | 99 97
109 99 336 | 85 95
117 100 196 | 117 100
109 99 460 | 105 96
105 96 546 | 77 86
117 100 0 | 89 98
97 95 520 | 83 90
106 100 432 | 87 93
109 99 455 | 79 85
106 100 490 | 106 100
109 99 285 | 98 93
117 100 413 | 99 97
117 100 451 | 91 91
106 100 71 | 85 95
117 100 556 | 83 90
117 100 625 | 97 95
117 100 615 | 109 99
117 100 744 | 117 100
106 100 396 | 87 93
117 100 565 | 103 95
117 100 23 | 105 96
109 99 263 | 79 85
117 100 398 | 80 91
117 100 167 | 90 92
117 100 660 | 117 100
117 100 329 | 85 100
117 100 133 | 117 100
105 96 534 | 85 95
117 100 65 | 89 98
106 100 289 | 98 93
109 99 633 | 105 96
117 100 370 | 89 98
117 100 159 | 117 100
92 95 312 | 85 100
117 100 312 | 99 97
109 99 114 | 89 98
117 100 404 | 97 95
109 99 90 | 109 99
106 100 156 | 91 91
106 100 587 | 98 93
109 99 459 | 103 95
117 100 227 | 98 93
109 99 47 | 105 96
117 100 468 | 106 100
117 100 209 | 90 92
92 95 100 | 90 92
117 100 549 | 106 100
117 100 446 | 91 91
117 100 686 | 117 100
105 96 569 | 90 92
117 100 469 | 87 93
105 96 597 | 97 95
117 100 154 | 91 91
117 100 67 | 91 91
109 99 634 | 109 99
117 100 34 | 85 100
