117 100 54 | 90 92
109 99 32 | 97 95
117 100 225 | 99 97
117 100 606 | 117 100
109 99 422 | 105 96
109 99 184 | 98 93
117 100 255 | 98 93
106 100 279 | 90 92
117 100 523 | 89 98
109 99 144 | 105 96
109 99 463 | 90 92
117 100 576 | 90 92
106 100 428 | 99 97
106 100 51 | 106 100
106 100 97 | 89 98
109 99 587 | 85 100
109 99 255 | 97 95
117 100 696 | 117 100
117 100 508 | 97 95
117 100 561 | 109 99
117 100 402 | 92 95
117 100 216 | 90 92
117 100 260 | 89 98
117 100 296 | 85 100
117 100 334 | 84 88
117 100 565 | 105 96
117 100 614 | 109 99
117 100 770 | 117 100
117 100 216 | 117 100
117 100 512 | 103 95
106 100 365 | 98 93
106 100 260 | 91 91
109 99 392 | 79 85
99 97 507 | 98 93
117 100 582 | 103 95
109 99 32 | 87 93
105 96 234 | 87 93
117 100 538 | 91 91
109 99 180 | 90 92
117 100 241 | 73 88
117 100 40 | 103 95
117 100 312 | 105 96
117 100 583 | 117 100
117 100 488 | 117 100
117 100 549 | 99 97
106 100 625 | 106 100
117 100 370 | 83 90
117 100 563 | 91 91
117 100 450 | 84 88
106 100 271 | 85 95
105 96 270 | 97 95
117 100 700 | 117 100
109 99 674 | 109 99
117 100 531 | 90 92
117 100 530 | 97 95
105 96 340 | 80 91
105 96 14 | 83 90
117 100 500 | 97 95
117 100 22 | 98 93
103 95 86 | 87 93
105 96 400 | 98 93
109 99 218 | 89 98
117 100 620 | 117 100
109 99 160 | 77 81
117 100 327 | 85 100
117 100 742 | 117 100
105 96 8 | 105 96
117 100 527 | 117 100
106 100 404 | 105 96
109 99 290 | 85 95
117 100 226 | 92 95
97 95 190 | 92 95
106 100 468 | 79 85
117 100 770 | 117 100
117 100 280 | 103 95
117 100 256 | 98 93
117 100 60 | 105 96
117 100 358 | 117 100
117 100 378 | 117 100
117 100 425 | 99 97
109 99 48 | 91 91
117 100 351 | 117 100
109 99 394 | 99 97
105 96 457 | 91 91
117 100 560 | 85 95
117 100 507 | 117 100
117 100 218 | 78 98
109 99 174 | 97 95
117 100 52 | 105 96
117 100 58 | 91 91
117 100 512 | 78 98
99 97 417 | 77 81
105 96 250 | 89 98
109 99 236 | 83 90
109 99 560 | 92 95
117 100 749 | 117 100
106 100 383 | 98 93
109 99 222 | 106 100
105 96 498 | 97 95
109 99 166 | 89 98
109 99 52 | 106 100
117 100 414 | 117 100
117 100 184 | 91 91
117 100 74 | 91 91
117 100 389 | 109 99
117 100 140 | 109 99
117 100 272 | 117 100
106 100 439 | 83 90
109 99 545 | 73 88
105 96 96 | 98 93
117 100 270 | 79 85
117 100 345 | 91 91
117 100 645 | 103 95
109 99 164 | 85 100
103 95 22 | 92 95
117 100 675 | 109 99
117 100 377 | 92 95
117 100 58 | 117 100
117 100 569 | 105 96
106 100 447 | 105 96
99 97 95 | 89 98
109 99 216 | 73 88
109 99 72 | 98 93
109 99 98 | 105 96
109 99 132 | 79 85
106 100 231 | 85 100
117 100 521 | 103 95
109 99 270 | 105 96
117 100 257 | 106 100
109 99 166 | 89 98
106 100 340 | 84 88
117 100 411 | 117 100
117 100 232 | 85 95
109 99 440 | 92 95
117 100 256 | 89 98
109 99 618 | 103 95
106 100 204 | 83 90
117 100 381 | 117 100
117 100 465 | 98 93
109 99 623 | 103 95
117 100 118 | 84 88
117 100 252 | 117 100
117 100 527 | 91 91
117 100 306 | 85 100
106 100 512 | 92 95
117 100 136 | 85 95
117 100 793 | 117 100
105 96 304 | 83 90
109 99 44 | 98 93
117 100 146 | 103 95
117 100 170 | 83 90
117 100 142 | 92 95
117 100 352 | 87 93
117 100 615 | 117 100
117 100 200 | 109 99
99 97 455 | 98 93
117 100 550 | 103 95
117 100 32 | 97 95
117 100 240 | 105 96
103 95 148 | 85 100
117 100 464 | 106 100
98 93 150 | 85 100
109 99 692 | 109 99
109 99 260 | 106 100
105 96 338 | 89 98
117 100 453 | 89 98
117 100 198 | 117 100
103 95 368 | 98 93
109 99 80 | 91 91
106 100 401 | 89 98
109 99 590 | 109 99
106 100 466 | 85 95
117 100 270 | 109 99
117 100 72 | 85 100
117 100 464 | 92 95
106 100 150 | 89 98
117 100 298 | 79 85
109 99 148 | 106 100
117 100 494 | 90 92
117 100 598 | 84 88
117 100 114 | 117 100
117 100 34 | 97 95
106 100 121 | 105 96
105 96 478 | 89 98
117 100 296 | 109 99
109 99 654 | 109 99
106 100 434 | 80 91
117 100 118 | 105 96
109 99 309 | 99 97
105 96 156 | 99 97
117 100 16 | 105 96
117 100 166 | 91 91
109 99 300 | 92 95
109 99 58 | 103 95
106 100 615 | 106 100
105 96 66 | 80 91
106 100 518 | 90 92
106 100 83 | 89 98
117 100 707 | 117 100
117 100 183 | 92 95
105 96 617 | 105 96
117 100 518 | 103 95
106 100 71 | 99 97
117 100 645 | 117 100
106 100 439 | 77 86
117 100 661 | 117 100
117 100 276 | 105 96
109 99 655 | 98 93
117 100 368 | 87 93
106 100 496 | 84 88
97 95 467 | 89 98
109 99 605 | 109 99
117 100 423 | 117 100
105 96 549 | 98 93
117 100 184 | 106 100
117 100 354 | 117 100
105 96 476 | 97 95
117 100 615 | 117 100
109 99 12 | 99 97
105 96 357 | 89 98
109 99 198 | 80 91
105 96 560 | 87 93
117 100 108 | 91 91
106 100 41 | 97 95
106 100 433 | 105 96
109 99 408 | 83 90
106 100 612 | 106 100
109 99 481 | 105 96
117 100 100 | 91 91
106 100 278 | 76 69
117 100 144 | 89 98
117 100 80 | 77 81
117 100 619 | 109 99
103 95 586 | 97 95
106 100 139 | 91 91
109 99 142 | 84 88
105 96 76 | 92 95
117 100 202 | 90 92
109 99 140 | 89 98
98 93 333 | 89 98
105 96 681 | 105 96
117 100 610 | 109 99
106 100 515 | 105 96
117 100 712 | 117 100
117 100 92 | 106 100
117 100 530 | 90 92
109 99 166 | 80 91
105 96 311 | 85 95
109 99 212 | 87 93
117 100 104 | 92 95
106 100 459 | 91 91
117 100 146 | 77 81
117 100 624 | 117 100
117 100 12 | 105 96
109 99 102 | 99 97
117 100 567 | 78 98
109 99 212 | 109 99
117 100 479 | 78 98
109 99 62 | 105 96
109 99 222 | 106 100
117 100 657 | 103 95
117 100 678 | 117 100
106 100 504 | 78 98
117 100 280 | 98 93
109 99 600 | 106 100
117 100 518 | 105 96
105 96 116 | 103 95
117 100 138 | 98 93
117 100 88 | 106 100
117 100 549 | 117 100
