106 100 630 | 105 96
117 100 421 | 91 91
103 95 196 | 77 81
117 100 465 | 109 99
109 99 120 | 97 95
117 100 573 | 103 95
105 96 431 | 77 86
117 100 675 | 117 100
117 100 468 | 105 96
106 100 101 | 89 98
105 96 519 | 91 91
105 96 699 | 105 96
117 100 48 | 92 95
117 100 311 | 98 93
117 100 676 | 117 100
117 100 632 | 117 100
109 99 408 | 91 91
117 100 292 | 77 81
109 99 528 | 91 91
117 100 12 | 103 95
98 93 2 | 92 95
117 100 296 | 117 100
117 100 198 | 99 97
109 99 204 | 105 96
117 100 18 | 91 91
109 99 132 | 83 90
117 100 142 | 99 97
105 96 4 | 105 96
117 100 575 | 84 88
117 100 524 | 83 90
105 96 374 | 77 81
105 96 528 | 103 95
117 100 691 | 117 100
117 100 592 | 105 96
117 100 178 | 99 97
106 100 1 | 83 90
117 100 182 | 98 93
117 100 20 | 77 86
97 95 30 | 73 88
106 100 1 | 91 91
106 100 283 | 99 97
109 99 491 | 77 81
117 100 489 | 117 100
105 96 233 | 91 91
117 100 509 | 91 91
109 99 483 | 83 90
106 100 265 | 105 96
103 95 556 | 77 81
106 100 226 | 89 98
117 100 248 | 91 91
109 99 536 | 85 100
99 97 79 | 98 93
117 100 397 | 91 91
109 99 278 | 85 95
106 100 496 | 90 92
117 100 493 | 89 98
109 99 213 | 105 96
105 96 630 | 97 95
117 100 626 | 117 100
117 100 308 | 109 99
117 100 194 | 77 81
117 100 164 | 98 93
109 99 388 | 105 96
117 100 591 | 78 98
117 100 386 | 91 91
98 93 506 | 97 95
117 100 2 | 117 100
117 100 112 | 85 95
117 100 206 | 91 91
117 100 188 | 73 88
106 100 672 | 106 100
106 100 455 | 84 88
103 95 814 | 103 95
117 100 36 | 87 93
117 100 540 | 103 95
109 99 223 | 106 100
109 99 562 | 91 91
117 100 614 | 106 100
109 99 649 | 109 99
109 99 190 | 106 100
117 100 567 | 99 97
109 99 499 | 97 95
109 99 256 | 98 93
99 97 175 | 79 85
117 100 565 | 85 95
99 97 582 | 85 100
117 100 282 | 80 91
109 99 643 | 92 95
99 97 456 | 80 91
117 100 688 | 109 99
109 99 286 | 98 93
105 96 116 | 87 93
117 100 182 | 90 92
98 93 761 | 98 93
117 100 231 | 85 95
117 100 252 | 117 100
109 99 385 | 78 98
117 100 80 | 91 91
106 100 83 | 103 95
117 100 6 | 91 91
117 100 302 | 77 86
117 100 84 | 117 100
117 100 566 | 109 99
109 99 370 | 91 91
105 96 122 | 103 95
105 96 478 | 83 90
117 100 235 | 103 95
117 100 637 | 117 100
117 100 34 | 73 88
109 99 582 | 105 96
117 100 272 | 89 98
106 100 29 | 77 86
117 100 356 | 91 91
105 96 468 | 79 85
109 99 374 | 105 96
117 100 309 | 106 100
106 100 309 | 105 96
117 100 178 | 83 90
117 100 623 | 103 95
117 100 2 | 105 96
106 100 127 | 85 100
117 100 226 | 98 93
103 95 621 | 103 95
106 100 269 | 89 98
117 100 62 | 106 100
117 100 717 | 117 100
105 96 140 | 78 98
117 100 508 | 97 95
99 97 335 | 80 91
117 100 80 | 105 96
117 100 411 | 105 96
117 100 20 | 87 93
109 99 40 | 77 86
117 100 304 | 106 100
117 100 531 | 106 100
109 99 223 | 89 98
117 100 108 | 85 100
106 100 378 | 91 91
117 100 116 | 99 97
109 99 262 | 105 96
106 100 424 | 103 95
117 100 510 | 89 98
98 93 4 | 92 95
117 100 228 | 109 99
117 100 334 | 79 85
117 100 114 | 97 95
117 100 536 | 117 100
117 100 486 | 105 96
103 95 348 | 76 69
106 100 428 | 103 95
106 100 153 | 84 88
117 100 90 | 97 95
117 100 517 | 97 95
117 100 566 | 77 86
109 99 28 | 90 92
117 100 707 | 117 100
117 100 112 | 91 91
109 99 200 | 89 98
109 99 446 | 84 88
109 99 455 | 84 88
109 99 58 | 91 91
109 99 44 | 87 93
109 99 42 | 91 91
117 100 481 | 89 98
117 100 259 | 73 88
117 100 451 | 99 97
117 100 249 | 109 99
117 100 70 | 90 92
109 99 66 | 105 96
109 99 496 | 90 92
117 100 246 | 105 96
109 99 44 | 105 96
106 100 87 | 77 86
117 100 324 | 97 95
117 100 254 | 117 100
109 99 566 | 89 98
99 97 351 | 90 92
117 100 671 | 117 100
117 100 48 | 91 91
106 100 561 | 89 98
117 100 66 | 109 99
117 100 416 | 90 92
117 100 613 | 117 100
105 96 679 | 105 96
103 95 88 | 99 97
109 99 42 | 91 91
106 100 269 | 91 91
117 100 605 | 117 100
109 99 318 | 89 98
117 100 581 | 106 100
117 100 220 | 103 95
117 100 628 | 117 100
117 100 623 | 109 99
105 96 114 | 89 98
117 100 405 | 73 88
117 100 190 | 77 81
117 100 4 | 103 95
117 100 52 | 73 88
117 100 590 | 79 85
109 99 369 | 91 91
106 100 211 | 79 85
105 96 198 | 90 92
109 99 122 | 80 91
103 95 280 | 92 95
117 100 568 | 103 95
109 99 24 | 106 100
103 95 270 | 79 85
117 100 534 | 87 93
117 100 52 | 117 100
117 100 122 | 97 95
117 100 2 | 79 85
117 100 137 | 78 98
106 100 161 | 73 88
117 100 506 | 91 91
117 100 491 | 117 100
105 96 588 | 89 98
117 100 611 | 109 99
109 99 218 | 77 81
117 100 418 | 91 91
106 100 571 | 77 86
117 100 431 | 89 98
117 100 729 | 117 100
117 100 362 | 91 91
109 99 2 | 91 91
106 100 356 | 79 85
117 100 210 | 109 99
105 96 445 | 98 93
109 99 176 | 90 92
109 99 36 | 92 95
117 100 38 | 98 93
109 99 186 | 91 91
98 93 140 | 80 91
117 100 711 | 117 100
105 96 162 | 73 88
117 100 324 | 83 90
106 100 652 | 106 100
117 100 633 | 103 95
109 99 54 | 98 93
117 100 456 | 97 95
109 99 242 | 105 96
105 96 10 | 99 97
117 100 669 | 117 100
117 100 383 | 91 91
117 100 84 | 106 100
117 100 8 | 90 92
117 100 611 | 109 99
106 100 524 | 98 93
117 100 334 | 92 95
117 100 396 | 97 95
117 100 332 | 87 93
109 99 279 | 97 95
117 100 404 | 106 100
117 100 371 | 91 91
106 100 422 | 98 93
105 96 20 | 84 88
97 95 679 | 97 95
117 100 630 | 117 100
117 100 398 | 90 92
117 100 735 | 117 100
109 99 350 | 78 98
106 100 478 | 98 93
117 100 316 | 105 96
117 100 300 | 89 98
117 100 152 | 85 95
105 96 284 | 85 95
117 100 20 | 97 95
106 100 119 | 80 91
117 100 465 | 103 95
117 100 6 | 92 95
117 100 206 | 109 99
117 100 578 | 117 100
106 100 293 | 98 93
117 100 591 | 103 95
117 100 720 | 117 100
117 100 28 | 77 86
109 99 124 | 106 100
117 100 489 | 97 95
117 100 661 | 117 100
117 100 430 | 109 99
106 100 29 | 99 97
117 100 365 | 106 100
117 100 440 | 90 92
109 99 296 | 97 95
117 100 304 | 103 95
117 100 364 | 78 98
117 100 711 | 117 100
117 100 604 | 117 100
117 100 282 | 117 100
105 96 136 | 87 93
117 100 531 | 91 91
117 100 340 | 89 98
105 96 283 | 105 96
117 100 95 | 80 91
117 100 680 | 103 95
117 100 302 | 98 93
117 100 455 | 117 100
117 100 314 | 89 98
105 96 489 | 85 95
117 100 192 | 80 91
109 99 96 | 85 95
105 96 623 | 97 95
109 99 394 | 99 97
117 100 38 | 109 99
117 100 720 | 117 100
117 100 656 | 117 100
106 100 461 | 90 92
117 100 28 | 77 81
98 93 423 | 91 91
117 100 264 | 91 91
109 99 208 | 92 95
117 100 371 | 77 81
117 100 253 | 109 99
117 100 164 | 97 95
117 100 334 | 87 93
117 100 473 | 99 97
117 100 616 | 117 100
105 96 653 | 105 96
117 100 511 | 85 100
117 100 36 | 91 91
117 100 166 | 77 86
98 93 352 | 85 100
103 95 577 | 89 98
117 100 579 | 105 96
117 100 60 | 77 81
105 96 661 | 105 96
117 100 412 | 91 91
103 95 175 | 78 98
109 99 170 | 89 98
117 100 30 | 117 100
109 99 404 | 89 98
106 100 67 | 85 100
117 100 721 | 117 100
109 99 477 | 91 91
117 100 584 | 103 95
117 100 639 | 117 100
117 100 136 | 117 100
117 100 516 | 89 98
117 100 118 | 117 100
117 100 2 | 105 96
103 95 264 | 84 88
105 96 274 | 89 98
117 100 322 | 85 100
117 100 350 | 85 100
117 100 670 | 117 100
117 100 46 | 103 95
105 96 665 | 105 96
117 100 694 | 117 100
109 99 410 | 79 85
117 100 619 | 117 100
117 100 174 | 117 100
98 93 10 | 73 88
117 100 264 | 91 91
117 100 28 | 103 95
117 100 572 | 91 91
117 100 32 | 90 92
117 100 714 | 117 100
117 100 308 | 117 100
117 100 586 | 92 95
117 100 482 | 99 97
117 100 333 | 117 100
106 100 145 | 89 98
117 100 284 | 117 100
109 99 482 | 105 96
117 100 678 | 117 100
109 99 182 | 106 100
117 100 713 | 117 100
117 100 100 | 91 91
117 100 202 | 117 100
117 100 583 | 91 91
117 100 72 | 73 88
106 100 168 | 77 81
109 99 56 | 91 91
117 100 545 | 105 96
109 99 505 | 90 92
117 100 568 | 117 100
117 100 164 | 91 91
117 100 300 | 103 95
99 97 612 | 92 95
109 99 82 | 103 95
117 100 24 | 105 96
106 100 652 | 106 100
109 99 34 | 87 93
117 100 20 | 85 100
106 100 371 | 84 88
117 100 30 | 117 100
117 100 90 | 106 100
109 99 70 | 87 93
117 100 248 | 109 99
106 100 471 | 85 95
117 100 574 | 106 100
109 99 243 | 91 91
109 99 42 | 98 93
109 99 453 | 98 93
117 100 534 | 83 90
117 100 627 | 117 100
105 96 416 | 91 91
109 99 540 | 85 95
109 99 402 | 84 88
117 100 192 | 77 81
105 96 214 | 105 96
117 100 44 | 105 96
117 100 20 | 117 100
117 100 385 | 80 91
117 100 30 | 73 88
117 100 143 | 90 92
105 96 381 | 99 97
117 100 555 | 77 86
109 99 479 | 83 90
117 100 651 | 91 91
117 100 385 | 91 91
117 100 140 | 84 88
117 100 255 | 83 90
109 99 337 | 91 91
117 100 104 | 97 95
117 100 571 | 77 81
117 100 660 | 117 100
109 99 320 | 77 86
117 100 497 | 89 98
106 100 568 | 106 100
109 99 40 | 98 93
117 100 284 | 91 91
117 100 124 | 78 98
105 96 340 | 89 98
109 99 410 | 90 92
106 100 491 | 98 93
109 99 559 | 85 100
109 99 530 | 83 90
117 100 348 | 103 95
117 100 160 | 91 91
117 100 340 | 90 92
117 100 458 | 91 91
117 100 493 | 73 88
117 100 214 | 89 98
106 100 443 | 84 88
117 100 602 | 103 95
103 95 535 | 78 98
117 100 346 | 117 100
117 100 102 | 77 86
117 100 575 | 99 97
103 95 398 | 77 86
103 95 426 | 77 81
106 100 269 | 73 88
117 100 136 | 105 96
117 100 380 | 117 100
109 99 676 | 109 99
117 100 601 | 91 91
117 100 50 | 117 100
105 96 432 | 92 95
117 100 276 | 105 96
117 100 430 | 117 100
109 99 40 | 109 99
106 100 477 | 103 95
117 100 351 | 109 99
106 100 330 | 78 98
117 100 216 | 97 95
117 100 377 | 98 93
117 100 597 | 109 99
109 99 372 | 105 96
105 96 492 | 91 91
117 100 708 | 117 100
105 96 722 | 105 96
109 99 592 | 91 91
109 99 303 | 106 100
117 100 18 | 79 85
99 97 211 | 78 98
105 96 389 | 103 95
117 100 156 | 87 93
117 100 615 | 103 95
109 99 717 | 109 99
117 100 680 | 117 100
117 100 88 | 78 98
106 100 21 | 89 98
117 100 216 | 83 90
117 100 403 | 79 85
117 100 330 | 106 100
103 95 500 | 84 88
117 100 370 | 98 93
106 100 483 | 91 91
98 93 478 | 83 90
106 100 340 | 85 95
117 100 483 | 99 97
117 100 541 | 109 99
117 100 554 | 90 92
117 100 448 | 117 100
105 96 268 | 91 91
106 100 382 | 98 93
117 100 234 | 80 91
117 100 448 | 73 88
109 99 73 | 98 93
105 96 172 | 98 93
117 100 251 | 92 95
109 99 452 | 87 93
106 100 89 | 91 91
117 100 466 | 105 96
117 100 344 | 105 96
117 100 20 | 85 95
117 100 480 | 97 95
109 99 399 | 105 96
117 100 214 | 91 91
117 100 550 | 84 88
117 100 371 | 77 81
117 100 146 | 109 99
109 99 196 | 106 100
117 100 496 | 98 93
105 96 636 | 105 96
109 99 340 | 85 95
117 100 92 | 84 88
117 100 615 | 117 100
117 100 6 | 87 93
106 100 1 | 98 93
117 100 38 | 105 96
106 100 11 | 91 91
117 100 326 | 84 88
117 100 624 | 117 100
117 100 136 | 97 95
117 100 391 | 106 100
109 99 583 | 79 85
117 100 579 | 117 100
106 100 622 | 106 100
105 96 521 | 89 98
117 100 687 | 117 100
117 100 299 | 89 98
117 100 566 | 99 97
106 100 1 | 85 100
106 100 137 | 97 95
109 99 253 | 98 93
117 100 96 | 106 100
99 97 149 | 87 93
117 100 618 | 117 100
99 97 323 | 85 100
117 100 673 | 117 100
109 99 20 | 89 98
117 100 148 | 105 96
98 93 611 | 76 69
117 100 602 | 109 99
103 95 488 | 92 95
105 96 591 | 97 95
106 100 165 | 91 91
117 100 204 | 99 97
117 100 619 | 109 99
109 99 260 | 84 88
109 99 142 | 83 90
99 97 331 | 73 88
109 99 458 | 105 96
106 100 547 | 89 98
117 100 531 | 99 97
117 100 324 | 91 91
106 100 3 | 89 98
117 100 213 | 76 69
109 99 634 | 109 99
117 100 473 | 91 91
105 96 194 | 89 98
117 100 297 | 97 95
117 100 382 | 117 100
106 100 99 | 78 98
106 100 652 | 103 95
106 100 433 | 92 95
117 100 485 | 117 100
109 99 418 | 78 98
117 100 619 | 109 99
109 99 485 | 97 95
117 100 492 | 106 100
106 100 7 | 105 96
117 100 380 | 91 91
109 99 436 | 105 96
117 100 453 | 109 99
106 100 119 | 99 97
117 100 100 | 91 91
117 100 116 | 109 99
117 100 388 | 117 100
105 96 185 | 85 100
117 100 422 | 92 95
117 100 210 | 91 91
117 100 146 | 106 100
105 96 2 | 90 92
109 99 164 | 109 99
117 100 176 | 89 98
109 99 279 | 77 81
117 100 325 | 83 90
117 100 170 | 87 93
97 95 410 | 91 91
117 100 386 | 117 100
105 96 612 | 105 96
117 100 489 | 98 93
109 99 335 | 77 86
105 96 450 | 77 86
117 100 311 | 105 96
109 99 122 | 84 88
91 91 70 | 80 91
106 100 191 | 97 95
106 100 497 | 79 85
117 100 527 | 98 93
117 100 140 | 85 100
99 97 51 | 85 100
117 100 74 | 98 93
109 99 144 | 97 95
117 100 341 | 77 81
105 96 496 | 98 93
106 100 447 | 91 91
109 99 10 | 99 97
103 95 82 | 98 93
117 100 527 | 85 100
117 100 460 | 78 98
117 100 50 | 103 95
117 100 579 | 103 95
117 100 437 | 97 95
117 100 8 | 85 95
117 100 419 | 98 93
109 99 491 | 91 91
106 100 173 | 80 91
109 99 174 | 84 88
117 100 2 | 77 81
106 100 59 | 98 93
106 100 215 | 91 91
117 100 101 | 109 99
109 99 588 | 105 96
117 100 365 | 91 91
117 100 460 | 97 95
117 100 592 | 117 100
117 100 6 | 92 95
109 99 444 | 85 100
109 99 551 | 84 88
105 96 244 | 97 95
117 100 514 | 106 100
106 100 71 | 103 95
117 100 260 | 90 92
117 100 8 | 85 95
109 99 483 | 99 97
117 100 664 | 109 99
117 100 325 | 99 97
109 99 124 | 105 96
117 100 84 | 97 95
117 100 70 | 85 100
117 100 414 | 117 100
117 100 205 | 117 100
105 96 46 | 77 81
109 99 370 | 77 86
103 95 486 | 89 98
117 100 491 | 77 81
117 100 228 | 77 86
117 100 407 | 77 86
117 100 557 | 117 100
106 100 3 | 80 91
99 97 27 | 97 95
117 100 94 | 92 95
109 99 394 | 97 95
117 100 48 | 91 91
109 99 90 | 92 95
105 96 248 | 91 91
105 96 445 | 80 91
117 100 212 | 109 99
105 96 38 | 85 100
109 99 236 | 83 90
117 100 514 | 98 93
117 100 516 | 99 97
117 100 287 | 98 93
117 100 262 | 105 96
105 96 455 | 90 92
117 100 226 | 97 95
117 100 190 | 106 100
117 100 703 | 117 100
106 100 27 | 90 92
117 100 463 | 91 91
117 100 420 | 89 98
117 100 310 | 105 96
117 100 500 | 117 100
117 100 286 | 85 100
109 99 480 | 90 92
117 100 641 | 117 100
106 100 1 | 73 88
117 100 92 | 85 100
109 99 572 | 91 91
117 100 704 | 117 100
106 100 301 | 103 95
105 96 36 | 99 97
109 99 132 | 87 93
117 100 493 | 83 90
117 100 312 | 117 100
117 100 284 | 97 95
99 97 228 | 85 95
117 100 641 | 117 100
106 100 356 | 99 97
117 100 18 | 90 92
117 100 158 | 98 93
109 99 28 | 85 100
109 99 631 | 109 99
117 100 612 | 117 100
109 99 399 | 83 90
109 99 569 | 106 100
109 99 304 | 97 95
109 99 355 | 90 92
106 100 1 | 92 95
117 100 274 | 91 91
117 100 134 | 90 92
99 97 155 | 90 92
99 97 281 | 98 93
106 100 123 | 77 81
109 99 609 | 91 91
117 100 541 | 92 95
109 99 48 | 83 90
109 99 2 | 85 95
117 100 152 | 117 100
117 100 216 | 83 90
117 100 76 | 117 100
105 96 242 | 80 91
109 99 28 | 87 93
117 100 218 | 85 95
99 97 502 | 98 93
117 100 579 | 105 96
117 100 379 | 109 99
117 100 629 | 109 99
109 99 494 | 89 98
97 95 18 | 89 98
117 100 467 | 78 98
106 100 584 | 92 95
109 99 379 | 98 93
117 100 56 | 109 99
106 100 169 | 91 91
117 100 365 | 117 100
117 100 68 | 90 92
106 100 355 | 91 91
106 100 346 | 92 95
117 100 322 | 91 91
117 100 16 | 84 88
109 99 350 | 91 91
117 100 509 | 117 100
117 100 662 | 117 100
117 100 619 | 117 100
117 100 156 | 91 91
91 91 512 | 89 98
117 100 531 | 117 100
109 99 204 | 105 96
109 99 104 | 85 95
117 100 534 | 98 93
109 99 144 | 87 93
106 100 405 | 77 81
117 100 296 | 106 100
106 100 348 | 73 88
109 99 182 | 105 96
117 100 580 | 76 69
109 99 642 | 76 69
105 96 467 | 89 98
117 100 430 | 90 92
103 95 86 | 85 95
106 100 123 | 89 98
117 100 647 | 117 100
117 100 440 | 109 99
109 99 238 | 105 96
103 95 364 | 97 95
117 100 521 | 117 100
117 100 420 | 77 86
117 100 362 | 109 99
109 99 488 | 90 92
117 100 670 | 117 100
117 100 10 | 83 90
109 99 604 | 76 69
109 99 110 | 106 100
117 100 666 | 117 100
117 100 230 | 105 96
105 96 306 | 84 88
117 100 404 | 73 88
105 96 638 | 105 96
109 99 8 | 103 95
117 100 138 | 90 92
117 100 643 | 117 100
117 100 210 | 84 88
117 100 583 | 117 100
117 100 164 | 105 96
99 97 133 | 84 88
109 99 392 | 79 85
117 100 703 | 117 100
109 99 88 | 106 100
117 100 567 | 109 99
117 100 493 | 77 86
99 97 21 | 78 98
117 100 106 | 103 95
92 95 253 | 73 88
117 100 594 | 117 100
106 100 440 | 98 93
117 100 20 | 89 98
105 96 290 | 105 96
117 100 348 | 117 100
98 93 483 | 91 91
117 100 40 | 98 93
117 100 306 | 84 88
106 100 93 | 98 93
105 96 562 | 91 91
117 100 18 | 89 98
109 99 517 | 106 100
117 100 36 | 77 81
117 100 407 | 83 90
117 100 18 | 97 95
117 100 375 | 98 93
103 95 228 | 87 93
117 100 277 | 97 95
105 96 260 | 89 98
117 100 635 | 117 100
106 100 332 | 80 91
105 96 282 | 98 93
99 97 646 | 99 97
106 100 295 | 84 88
109 99 563 | 98 93
106 100 551 | 99 97
117 100 290 | 106 100
109 99 530 | 98 93
117 100 664 | 117 100
109 99 136 | 91 91
109 99 481 | 97 95
106 100 13 | 83 90
117 100 252 | 98 93
117 100 243 | 117 100
117 100 458 | 91 91
109 99 198 | 91 91
117 100 492 | 85 100
117 100 588 | 91 91
117 100 305 | 77 86
117 100 554 | 106 100
117 100 296 | 85 95
109 99 407 | 105 96
117 100 464 | 92 95
105 96 445 | 85 95
97 95 695 | 97 95
109 99 638 | 103 95
105 96 32 | 97 95
109 99 572 | 73 88
117 100 205 | 79 85
106 100 293 | 84 88
117 100 578 | 117 100
99 97 175 | 98 93
105 96 380 | 89 98
117 100 422 | 89 98
117 100 609 | 117 100
105 96 164 | 80 91
105 96 533 | 99 97
117 100 245 | 80 91
109 99 100 | 91 91
105 96 560 | 78 98
109 99 26 | 89 98
105 96 642 | 105 96
117 100 263 | 109 99
117 100 414 | 117 100
109 99 230 | 105 96
103 95 453 | 91 91
106 100 143 | 84 88
105 96 300 | 79 85
117 100 16 | 79 85
117 100 240 | 98 93
117 100 569 | 117 100
117 100 670 | 117 100
117 100 405 | 103 95
109 99 112 | 109 99
117 100 2 | 106 100
117 100 704 | 117 100
117 100 553 | 109 99
117 100 548 | 85 95
106 100 301 | 105 96
105 96 639 | 91 91
98 93 686 | 98 93
103 95 154 | 85 95
117 100 488 | 105 96
117 100 118 | 83 90
117 100 10 | 89 98
106 100 587 | 84 88
109 99 214 | 103 95
109 99 282 | 85 100
117 100 388 | 103 95
105 96 484 | 105 96
117 100 368 | 117 100
106 100 379 | 85 95
106 100 3 | 78 98
117 100 681 | 117 100
109 99 153 | 91 91
117 100 162 | 87 93
105 96 293 | 89 98
117 100 88 | 85 95
117 100 738 | 117 100
109 99 512 | 83 90
105 96 50 | 99 97
117 100 566 | 85 95
103 95 596 | 78 98
117 100 8 | 117 100
117 100 228 | 117 100
109 99 421 | 92 95
117 100 547 | 103 95
117 100 396 | 97 95
106 100 115 | 91 91
117 100 668 | 117 100
117 100 618 | 117 100
105 96 132 | 98 93
117 100 628 | 105 96
117 100 599 | 117 100
109 99 505 | 77 81
106 100 187 | 89 98
105 96 314 | 91 91
109 99 204 | 89 98
117 100 218 | 91 91
117 100 256 | 87 93
109 99 158 | 91 91
109 99 595 | 103 95
99 97 367 | 85 95
103 95 136 | 89 98
