117 100 86 | 77 81
117 100 1351 | 90 92
117 100 56 | 103 95
117 100 794 | 103 95
117 100 201 | 117 100
117 100 909 | 109 99
117 100 994 | 83 90
109 99 822 | 77 81
117 100 839 | 98 93
117 100 539 | 85 95
117 100 365 | 91 91
117 100 202 | 90 92
117 100 154 | 97 95
117 100 393 | 89 98
117 100 1522 | 99 97
117 100 245 | 98 93
117 100 213 | 85 100
117 100 421 | 89 98
117 100 27 | 117 100
117 100 367 | 89 98
117 100 99 | 117 100
117 100 88 | 89 98
106 100 390 | 105 96
117 100 463 | 97 95
117 100 332 | 90 92
109 99 84 | 90 92
117 100 978 | 79 85
117 100 159 | 105 96
117 100 359 | 87 93
117 100 1482 | 117 100
117 100 1256 | 105 96
117 100 319 | 76 69
117 100 1514 | 91 91
117 100 770 | 92 95
117 100 343 | 117 100
117 100 73 | 89 98
117 100 868 | 109 99
117 100 351 | 109 99
117 100 1100 | 91 91
117 100 1218 | 85 100
117 100 242 | 105 96
117 100 739 | 91 91
109 99 624 | 79 85
117 100 368 | 77 86
109 99 593 | 105 96
117 100 1098 | 105 96
109 99 313 | 105 96
117 100 511 | 98 93
117 100 1604 | 117 100
117 100 1282 | 98 93
117 100 1586 | 117 100
117 100 103 | 117 100
117 100 1214 | 98 93
117 100 1137 | 103 95
117 100 1289 | 117 100
117 100 573 | 99 97
117 100 1010 | 117 100
117 100 115 | 85 95
117 100 958 | 109 99
117 100 606 | 105 96
117 100 240 | 73 88
117 100 228 | 78 98
117 100 1360 | 117 100
117 100 407 | 83 90
117 100 1217 | 87 93
117 100 1537 | 117 100
117 100 734 | 78 98
117 100 971 | 105 96
117 100 179 | 87 93
106 100 573 | 89 98
117 100 352 | 98 93
117 100 271 | 97 95
117 100 1640 | 117 100
117 100 221 | 91 91
109 99 11 | 105 96
117 100 305 | 92 95
117 100 383 | 97 95
117 100 198 | 83 90
117 100 1209 | 85 95
117 100 362 | 97 95
117 100 37 | 77 86
117 100 6 | 99 97
109 99 698 | 91 91
109 99 1339 | 105 96
117 100 160 | 91 91
117 100 202 | 89 98
117 100 917 | 103 95
117 100 644 | 89 98
117 100 331 | 117 100
117 100 496 | 105 96
117 100 145 | 117 100
117 100 775 | 106 100
109 99 1410 | 89 98
109 99 481 | 105 96
117 100 1404 | 73 88
117 100 751 | 73 88
117 100 287 | 78 98
117 100 861 | 90 92
117 100 743 | 109 99
117 100 224 | 79 85
117 100 5 | 109 99
117 100 1377 | 106 100
117 100 260 | 117 100
117 100 361 | 117 100
117 100 208 | 78 98
117 100 968 | 105 96
117 100 775 | 106 100
109 99 777 | 106 100
117 100 53 | 87 93
117 100 1128 | 85 100
117 100 786 | 90 92
117 100 332 | 106 100
109 99 1185 | 106 100
117 100 825 | 98 93
109 99 876 | 87 93
106 100 395 | 79 85
117 100 848 | 98 93
117 100 838 | 87 93
117 100 246 | 91 91
117 100 1748 | 117 100
117 100 1628 | 117 100
117 100 1824 | 117 100
105 96 1548 | 84 88
117 100 395 | 91 91
117 100 1271 | 87 93
117 100 193 | 85 95
117 100 151 | 106 100
106 100 538 | 79 85
117 100 574 | 103 95
117 100 1071 | 92 95
117 100 371 | 105 96
117 100 1488 | 105 96
117 100 313 | 117 100
117 100 84 | 105 96
109 99 833 | 89 98
117 100 51 | 98 93
117 100 225 | 97 95
117 100 1205 | 79 85
117 100 1240 | 97 95
117 100 1644 | 109 99
117 100 197 | 73 88
117 100 844 | 80 91
117 100 907 | 98 93
117 100 340 | 109 99
117 100 582 | 84 88
117 100 353 | 109 99
117 100 1523 | 99 97
117 100 666 | 98 93
117 100 1024 | 98 93
117 100 692 | 98 93
109 99 1058 | 91 91
117 100 9 | 83 90
109 99 164 | 99 97
117 100 1066 | 92 95
117 100 752 | 109 99
117 100 710 | 91 91
117 100 16 | 117 100
109 99 1786 | 109 99
117 100 1583 | 117 100
117 100 785 | 87 93
117 100 628 | 85 100
109 99 326 | 105 96
117 100 151 | 106 100
117 100 113 | 98 93
117 100 931 | 106 100
117 100 77 | 98 93
117 100 972 | 97 95
109 99 1051 | 99 97
117 100 196 | 117 100
117 100 214 | 105 96
117 100 832 | 91 91
117 100 1529 | 117 100
117 100 210 | 117 100
117 100 1535 | 89 98
117 100 369 | 98 93
117 100 120 | 117 100
109 99 121 | 97 95
117 100 1313 | 117 100
117 100 52 | 98 93
117 100 610 | 105 96
117 100 65 | 106 100
109 99 482 | 90 92
117 100 179 | 117 100
117 100 1608 | 117 100
117 100 1519 | 99 97
109 99 923 | 89 98
117 100 1372 | 89 98
106 100 380 | 103 95
117 100 1171 | 85 100
117 100 22 | 98 93
117 100 168 | 117 100
117 100 510 | 89 98
117 100 639 | 117 100
117 100 662 | 117 100
106 100 721 | 105 96
106 100 204 | 87 93
117 100 1119 | 79 85
117 100 1148 | 91 91
117 100 1029 | 77 86
117 100 825 | 109 99
117 100 259 | 76 69
117 100 429 | 117 100
117 100 787 | 91 91
117 100 351 | 91 91
117 100 319 | 109 99
109 99 382 | 99 97
117 100 740 | 98 93
117 100 838 | 97 95
117 100 602 | 109 99
117 100 417 | 109 99
117 100 1024 | 91 91
106 100 1313 | 97 95
117 100 393 | 109 99
117 100 62 | 105 96
117 100 238 | 91 91
117 100 1112 | 103 95
117 100 236 | 91 91
117 100 285 | 77 81
117 100 91 | 73 88
117 100 100 | 98 93
117 100 149 | 92 95
117 100 1722 | 117 100
117 100 259 | 98 93
117 100 176 | 98 93
117 100 1137 | 89 98
117 100 450 | 99 97
117 100 582 | 109 99
106 100 1277 | 98 93
117 100 1556 | 117 100
117 100 340 | 98 93
117 100 581 | 85 100
117 100 276 | 117 100
117 100 75 | 91 91
109 99 957 | 85 100
106 100 65 | 89 98
117 100 894 | 98 93
109 99 1320 | 97 95
109 99 834 | 89 98
117 100 697 | 117 100
109 99 38 | 92 95
106 100 825 | 78 98
117 100 546 | 85 95
109 99 1569 | 99 97
117 100 238 | 91 91
117 100 439 | 105 96
117 100 558 | 85 95
117 100 318 | 106 100
109 99 1072 | 73 88
117 100 981 | 106 100
117 100 1499 | 89 98
117 100 795 | 103 95
117 100 671 | 97 95
117 100 1497 | 103 95
117 100 1195 | 109 99
117 100 667 | 105 96
117 100 107 | 83 90
117 100 195 | 89 98
109 99 406 | 105 96
117 100 221 | 83 90
109 99 195 | 99 97
117 100 120 | 117 100
117 100 10 | 92 95
117 100 529 | 117 100
117 100 865 | 105 96
109 99 1176 | 80 91
117 100 1407 | 89 98
117 100 863 | 78 98
117 100 782 | 79 85
117 100 259 | 83 90
117 100 881 | 117 100
117 100 1414 | 91 91
117 100 1267 | 89 98
117 100 366 | 117 100
117 100 209 | 85 100
109 99 403 | 91 91
117 100 195 | 87 93
117 100 1457 | 85 100
117 100 1145 | 84 88
117 100 1210 | 105 96
117 100 278 | 79 85
117 100 1499 | 117 100
117 100 1501 | 84 88
117 100 76 | 77 81
117 100 558 | 117 100
117 100 354 | 89 98
117 100 1048 | 97 95
109 99 883 | 98 93
117 100 1438 | 105 96
117 100 1198 | 109 99
117 100 1537 | 117 100
117 100 554 | 109 99
117 100 984 | 105 96
109 99 637 | 106 100
117 100 1348 | 98 93
117 100 587 | 117 100
117 100 509 | 103 95
109 99 906 | 76 69
117 100 1543 | 103 95
109 99 436 | 90 92
117 100 688 | 105 96
117 100 676 | 98 93
117 100 1388 | 117 100
106 100 763 | 89 98
117 100 1054 | 106 100
117 100 259 | 97 95
117 100 1552 | 83 90
117 100 1066 | 85 95
117 100 821 | 87 93
117 100 578 | 103 95
117 100 41 | 109 99
117 100 1730 | 117 100
109 99 1309 | 99 97
109 99 64 | 85 100
117 100 123 | 117 100
117 100 893 | 103 95
117 100 288 | 109 99
117 100 274 | 87 93
117 100 1379 | 99 97
117 100 783 | 91 91
117 100 1238 | 117 100
117 100 539 | 79 85
117 100 1225 | 106 100
117 100 1728 | 117 100
117 100 1557 | 117 100
117 100 378 | 117 100
117 100 1463 | 105 96
117 100 1292 | 91 91
117 100 1535 | 105 96
109 99 145 | 105 96
117 100 187 | 105 96
117 100 1040 | 99 97
117 100 1296 | 109 99
117 100 1399 | 117 100
117 100 1615 | 117 100
106 100 1216 | 91 91
117 100 231 | 98 93
117 100 271 | 106 100
117 100 526 | 89 98
109 99 927 | 98 93
117 100 643 | 109 99
117 100 1157 | 109 99
117 100 276 | 105 96
117 100 1219 | 84 88
117 100 1707 | 117 100
109 99 26 | 91 91
117 100 20 | 77 81
117 100 757 | 98 93
117 100 367 | 117 100
109 99 837 | 91 91
109 99 129 | 106 100
117 100 1281 | 77 81
117 100 697 | 80 91
117 100 1590 | 109 99
117 100 1669 | 117 100
117 100 745 | 90 92
117 100 1213 | 91 91
117 100 1147 | 91 91
117 100 562 | 89 98
117 100 348 | 105 96
109 99 552 | 98 93
117 100 527 | 97 95
117 100 560 | 79 85
117 100 1756 | 109 99
117 100 1233 | 117 100
117 100 1628 | 117 100
109 99 311 | 91 91
117 100 552 | 79 85
117 100 1320 | 98 93
117 100 610 | 78 98
109 99 113 | 87 93
117 100 1503 | 117 100
117 100 40 | 117 100
117 100 929 | 117 100
117 100 1436 | 106 100
117 100 564 | 84 88
117 100 1032 | 84 88
117 100 356 | 97 95
117 100 316 | 90 92
117 100 344 | 103 95
117 100 817 | 105 96
117 100 1624 | 117 100
117 100 496 | 106 100
106 100 690 | 106 100
117 100 520 | 105 96
117 100 159 | 117 100
117 100 1064 | 98 93
117 100 1262 | 117 100
117 100 663 | 117 100
117 100 291 | 106 100
117 100 348 | 99 97
117 100 1145 | 105 96
109 99 108 | 87 93
117 100 294 | 105 96
117 100 30 | 84 88
117 100 203 | 106 100
117 100 754 | 92 95
117 100 1598 | 117 100
