117 100 580 | 103 95
109 99 229 | 87 93
117 100 485 | 91 91
117 100 1096 | 90 92
117 100 92 | 80 91
117 100 699 | 99 97
117 100 928 | 89 98
117 100 30 | 83 90
109 99 280 | 79 85
117 100 36 | 105 96
117 100 1044 | 106 100
117 100 338 | 117 100
117 100 136 | 117 100
117 100 494 | 89 98
117 100 1048 | 99 97
117 100 34 | 103 95
117 100 100 | 106 100
117 100 224 | 73 88
117 100 1631 | 109 99
109 99 590 | 105 96
117 100 1085 | 97 95
117 100 1002 | 78 98
117 100 250 | 91 91
117 100 984 | 91 91
117 100 446 | 92 95
117 100 100 | 105 96
117 100 865 | 105 96
117 100 24 | 92 95
117 100 128 | 91 91
117 100 969 | 103 95
117 100 2 | 98 93
117 100 246 | 105 96
117 100 335 | 105 96
117 100 1372 | 105 96
109 99 1620 | 76 69
117 100 96 | 117 100
117 100 511 | 98 93
117 100 62 | 106 100
117 100 522 | 85 95
117 100 434 | 83 90
117 100 1329 | 117 100
117 100 483 | 98 93
109 99 1105 | 91 91
117 100 1109 | 92 95
117 100 786 | 98 93
117 100 1681 | 117 100
117 100 1373 | 83 90
117 100 716 | 77 86
117 100 889 | 92 95
117 100 438 | 97 95
117 100 827 | 117 100
117 100 1425 | 103 95
117 100 1244 | 85 95
117 100 1128 | 97 95
117 100 328 | 97 95
117 100 155 | 98 93
117 100 1584 | 91 91
117 100 1359 | 98 93
117 100 949 | 117 100
117 100 243 | 105 96
117 100 932 | 83 90
117 100 198 | 80 91
109 99 826 | 90 92
117 100 226 | 83 90
117 100 513 | 91 91
117 100 430 | 98 93
117 100 328 | 87 93
109 99 372 | 77 86
117 100 70 | 89 98
117 100 732 | 105 96
117 100 1228 | 85 100
117 100 414 | 117 100
117 100 302 | 117 100
117 100 12 | 117 100
117 100 1665 | 117 100
117 100 594 | 105 96
117 100 282 | 109 99
117 100 822 | 117 100
117 100 1268 | 105 96
117 100 72 | 97 95
117 100 558 | 105 96
117 100 121 | 98 93
117 100 918 | 90 92
117 100 88 | 90 92
105 96 1564 | 77 81
117 100 1205 | 117 100
117 100 1265 | 103 95
117 100 839 | 80 91
117 100 830 | 83 90
117 100 637 | 106 100
117 100 1613 | 117 100
106 100 295 | 92 95
117 100 70 | 117 100
117 100 1388 | 109 99
117 100 1812 | 117 100
117 100 1370 | 109 99
106 100 283 | 91 91
117 100 806 | 85 100
117 100 304 | 89 98
117 100 1207 | 99 97
117 100 42 | 117 100
117 100 380 | 117 100
117 100 990 | 117 100
117 100 810 | 109 99
117 100 1481 | 105 96
117 100 1147 | 91 91
117 100 1213 | 105 96
117 100 76 | 89 98
117 100 156 | 79 85
117 100 446 | 89 98
106 100 1147 | 90 92
117 100 735 | 117 100
109 99 487 | 91 91
117 100 916 | 109 99
117 100 397 | 78 98
117 100 1557 | 117 100
117 100 1311 | 105 96
109 99 1517 | 77 81
117 100 1366 | 89 98
117 100 1438 | 89 98
117 100 1295 | 103 95
117 100 1023 | 117 100
117 100 789 | 105 96
117 100 1474 | 105 96
109 99 1044 | 106 100
117 100 736 | 85 95
117 100 1387 | 103 95
117 100 438 | 89 98
117 100 426 | 98 93
117 100 1305 | 105 96
117 100 70 | 117 100
117 100 874 | 87 93
105 96 845 | 105 96
117 100 851 | 106 100
117 100 1421 | 109 99
117 100 1476 | 117 100
117 100 866 | 89 98
117 100 949 | 92 95
117 100 80 | 99 97
109 99 1011 | 106 100
117 100 616 | 92 95
106 100 1546 | 80 91
117 100 110 | 109 99
117 100 866 | 98 93
117 100 190 | 106 100
109 99 1578 | 91 91
117 100 1637 | 117 100
117 100 1315 | 78 98
106 100 775 | 98 93
117 100 582 | 92 95
117 100 360 | 92 95
117 100 438 | 98 93
117 100 81 | 87 93
117 100 752 | 117 100
117 100 750 | 105 96
117 100 259 | 90 92
117 100 90 | 106 100
117 100 198 | 117 100
117 100 2 | 78 98
117 100 492 | 103 95
117 100 1222 | 105 96
117 100 1243 | 91 91
117 100 224 | 87 93
117 100 781 | 97 95
117 100 340 | 92 95
117 100 84 | 92 95
117 100 6 | 105 96
117 100 1368 | 90 92
106 100 906 | 98 93
117 100 1255 | 105 96
117 100 62 | 77 86
109 99 376 | 85 100
117 100 1417 | 85 100
117 100 1474 | 117 100
117 100 358 | 105 96
117 100 1579 | 117 100
117 100 306 | 99 97
117 100 40 | 117 100
117 100 438 | 91 91
117 100 558 | 98 93
109 99 1013 | 98 93
106 100 683 | 103 95
117 100 421 | 89 98
117 100 1664 | 117 100
117 100 841 | 106 100
117 100 306 | 90 92
117 100 540 | 85 95
117 100 54 | 98 93
117 100 6 | 85 95
117 100 1287 | 89 98
117 100 10 | 89 98
117 100 841 | 78 98
117 100 600 | 99 97
117 100 1680 | 117 100
117 100 676 | 105 96
117 100 1787 | 117 100
117 100 476 | 80 91
109 99 1441 | 77 81
117 100 76 | 91 91
117 100 390 | 91 91
117 100 14 | 89 98
117 100 468 | 117 100
117 100 1727 | 117 100
106 100 741 | 97 95
117 100 843 | 117 100
109 99 444 | 91 91
117 100 20 | 103 95
117 100 498 | 117 100
117 100 1119 | 103 95
117 100 694 | 85 95
117 100 355 | 98 93
117 100 941 | 105 96
109 99 494 | 90 92
117 100 338 | 89 98
117 100 540 | 117 100
117 100 794 | 105 96
117 100 620 | 109 99
117 100 200 | 105 96
117 100 620 | 117 100
117 100 1610 | 117 100
117 100 541 | 89 98
117 100 516 | 91 91
117 100 1517 | 103 95
117 100 1558 | 103 95
117 100 845 | 98 93
117 100 232 | 103 95
117 100 1024 | 97 95
117 100 621 | 89 98
117 100 547 | 97 95
109 99 526 | 91 91
117 100 972 | 91 91
117 100 1001 | 117 100
117 100 4 | 98 93
117 100 770 | 105 96
117 100 1287 | 91 91
117 100 270 | 84 88
117 100 1387 | 103 95
117 100 792 | 117 100
117 100 666 | 98 93
117 100 635 | 91 91
117 100 308 | 92 95
117 100 387 | 106 100
109 99 358 | 106 100
109 99 292 | 89 98
117 100 513 | 117 100
117 100 1322 | 83 90
117 100 609 | 109 99
117 100 1136 | 98 93
117 100 931 | 98 93
117 100 4 | 91 91
117 100 292 | 97 95
117 100 501 | 105 96
106 100 1134 | 87 93
117 100 396 | 117 100
117 100 612 | 105 96
117 100 913 | 91 91
117 100 176 | 98 93
117 100 12 | 105 96
117 100 440 | 85 95
109 99 1079 | 105 96
109 99 892 | 99 97
109 99 62 | 97 95
117 100 192 | 89 98
117 100 1351 | 89 98
117 100 639 | 117 100
106 100 327 | 84 88
117 100 1068 | 117 100
117 100 1537 | 117 100
117 100 164 | 98 93
109 99 1011 | 91 91
117 100 1506 | 92 95
117 100 122 | 117 100
117 100 1375 | 91 91
109 99 8 | 78 98
117 100 1235 | 105 96
117 100 464 | 109 99
117 100 600 | 98 93
117 100 366 | 83 90
117 100 1616 | 106 100
