106 100 751 | 0 221
117 100 254 | 0 278
106 100 749 | 0 312
109 99 382 | 71 77
109 99 921 | 72 71
117 100 422 | 0 294
103 95 322 | 0 262
117 100 504 | 0 294
117 100 848 | 0 327
117 100 302 | 59 52
109 99 704 | 77 73
117 100 196 | 0 276
109 99 992 | 109 99
117 100 129 | 0 337
109 99 782 | 87 93
117 100 74 | 0 211
117 100 40 | 63 76
109 99 947 | 0 337
117 100 944 | 0 273
105 96 948 | 0 422
117 100 323 | 0 261
109 99 52 | 0 280
117 100 730 | 90 92
117 100 592 | 0 249
117 100 6 | 0 133
109 99 880 | 0 227
117 100 510 | 0 212
117 100 120 | 0 189
117 100 514 | 66 67
117 100 230 | 0 178
117 100 481 | 0 314
109 99 720 | 0 206
117 100 174 | 0 390
109 99 24 | 0 304
117 100 244 | 0 187
109 99 528 | 0 308
117 100 770 | 0 284
117 100 16 | 0 378
117 100 756 | 0 449
117 100 603 | 0 325
117 100 985 | 0 294
117 100 814 | 0 337
117 100 42 | 0 142
117 100 674 | 0 359
117 100 714 | 0 304
117 100 464 | 0 325
109 99 63 | 0 306
97 95 132 | 0 189
109 99 542 | 0 216
106 100 607 | 0 197
106 100 7 | 0 271
109 99 842 | 0 208
109 99 716 | 0 307
117 100 456 | 0 219
109 99 242 | 59 65
117 100 582 | 0 264
117 100 64 | 0 122
117 100 634 | 0 324
106 100 339 | 0 170
117 100 86 | 0 264
106 100 415 | 77 73
117 100 764 | 0 138
109 99 210 | 0 240
117 100 478 | 0 243
117 100 444 | 0 273
117 100 793 | 0 254
117 100 296 | 0 302
117 100 554 | 0 272
109 99 668 | 0 244
105 96 955 | 0 237
109 99 524 | 0 418
117 100 346 | 0 309
117 100 496 | 0 171
105 96 292 | 0 223
117 100 722 | 0 138
109 99 463 | 0 286
117 100 386 | 0 240
109 99 121 | 0 314
109 99 488 | 0 471
117 100 770 | 103 95
117 100 520 | 0 249
109 99 488 | 0 416
109 99 458 | 0 316
117 100 328 | 0 227
109 99 606 | 0 247
117 100 671 | 0 290
105 96 82 | 0 222
117 100 880 | 0 298
109 99 2 | 0 202
99 97 925 | 87 93
117 100 502 | 0 349
109 99 742 | 0 402
106 100 404 | 0 325
117 100 24 | 0 176
106 100 185 | 0 169
117 100 198 | 0 187
117 100 130 | 0 255
109 99 592 | 79 85
109 99 477 | 0 277
117 100 440 | 0 208
117 100 432 | 0 375
117 100 24 | 0 346
103 95 130 | 0 274
103 95 384 | 0 323
117 100 334 | 0 237
109 99 198 | 73 70
117 100 764 | 0 394
117 100 738 | 0 193
117 100 645 | 89 98
117 100 574 | 0 262
117 100 348 | 91 91
109 99 34 | 0 304
109 99 452 | 0 176
109 99 712 | 0 328
117 100 12 | 0 401
117 100 92 | 0 267
106 100 961 | 0 278
117 100 290 | 91 91
106 100 475 | 0 285
109 99 170 | 0 349
109 99 520 | 91 91
117 100 550 | 0 335
109 99 571 | 0 202
117 100 796 | 109 99
103 95 664 | 0 250
117 100 170 | 0 221
106 100 384 | 0 160
117 100 134 | 0 310
117 100 92 | 83 90
117 100 138 | 0 307
106 100 361 | 0 190
106 100 679 | 0 352
117 100 200 | 0 155
103 95 854 | 0 204
109 99 580 | 83 90
109 99 60 | 0 206
117 100 236 | 0 376
117 100 393 | 0 300
109 99 344 | 0 243
117 100 179 | 106 100
117 100 188 | 0 307
117 100 704 | 0 264
117 100 168 | 0 225
117 100 160 | 0 200
109 99 138 | 0 247
117 100 388 | 0 243
109 99 581 | 0 423
106 100 415 | 0 165
109 99 236 | 0 166
117 100 847 | 0 209
109 99 863 | 0 164
117 100 252 | 0 234
105 96 259 | 0 293
109 99 266 | 0 215
117 100 74 | 0 378
117 100 104 | 0 364
109 99 788 | 0 160
117 100 300 | 0 220
106 100 229 | 0 155
109 99 118 | 0 401
117 100 110 | 0 196
117 100 204 | 0 227
109 99 638 | 0 300
109 99 301 | 0 298
105 96 34 | 0 271
109 99 6 | 0 330
117 100 540 | 0 150
109 99 44 | 71 77
117 100 16 | 0 254
117 100 981 | 103 95
109 99 4 | 0 328
106 100 547 | 0 278
109 99 932 | 91 91
117 100 224 | 0 178
106 100 477 | 0 177
109 99 158 | 0 302
106 100 934 | 0 170
117 100 148 | 0 264
117 100 404 | 0 401
117 100 468 | 0 281
109 99 240 | 0 159
106 100 231 | 0 121
117 100 138 | 117 100
117 100 738 | 0 278
109 99 775 | 0 257
117 100 854 | 0 225
117 100 278 | 0 228
117 100 204 | 71 77
117 100 184 | 109 99
109 99 413 | 0 419
97 95 36 | 0 169
117 100 432 | 77 86
109 99 314 | 0 291
117 100 154 | 45 55
117 100 962 | 0 238
117 100 312 | 77 81
109 99 888 | 0 297
109 99 841 | 71 77
117 100 590 | 79 74
117 100 949 | 79 85
103 95 251 | 0 326
106 100 533 | 0 218
117 100 735 | 0 283
109 99 152 | 0 194
109 99 244 | 71 77
117 100 424 | 0 323
109 99 197 | 0 276
117 100 462 | 0 332
103 95 979 | 0 210
109 99 88 | 0 151
117 100 665 | 0 268
117 100 703 | 0 317
117 100 106 | 0 238
117 100 464 | 0 286
117 100 646 | 99 97
106 100 791 | 18 21
117 100 287 | 0 279
117 100 608 | 0 223
109 99 618 | 0 169
117 100 901 | 0 121
117 100 30 | 0 320
109 99 442 | 0 300
117 100 802 | 0 333
109 99 158 | 0 319
105 96 852 | 0 128
117 100 178 | 0 423
117 100 462 | 0 285
117 100 328 | 0 293
103 95 82 | 87 93
109 99 276 | 0 171
