117 100 247 | 0 323
117 100 1426 | 0 138
117 100 513 | 77 81
117 100 572 | 78 98
117 100 364 | 117 100
117 100 386 | 0 212
117 100 1385 | 0 342
117 100 252 | 0 367
117 100 354 | 0 328
117 100 392 | 0 397
117 100 709 | 79 74
117 100 1525 | 0 304
117 100 1299 | 0 394
117 100 2380 | 0 247
117 100 1351 | 0 401
117 100 251 | 0 145
117 100 2482 | 0 337
117 100 900 | 0 201
117 100 2427 | 0 364
117 100 752 | 0 263
117 100 1241 | 0 274
117 100 363 | 0 411
117 100 84 | 0 231
117 100 319 | 0 223
117 100 585 | 109 99
117 100 567 | 0 275
117 100 618 | 85 100
117 100 1712 | 0 231
117 100 180 | 0 321
117 100 362 | 78 98
117 100 1587 | 0 334
117 100 461 | 0 346
117 100 2420 | 76 69
117 100 1723 | 0 287
117 100 573 | 98 93
117 100 422 | 83 90
117 100 612 | 89 98
117 100 234 | 0 236
117 100 463 | 0 235
117 100 1967 | 117 100
117 100 46 | 0 230
117 100 427 | 0 238
117 100 1759 | 0 205
117 100 1235 | 0 269
109 99 1307 | 85 95
117 100 1708 | 0 253
117 100 1169 | 98 93
117 100 98 | 0 232
117 100 929 | 0 254
117 100 1167 | 0 251
117 100 1454 | 0 235
117 100 542 | 0 338
117 100 410 | 0 161
117 100 116 | 85 95
117 100 254 | 85 95
117 100 19 | 99 97
117 100 975 | 0 268
117 100 459 | 0 320
117 100 65 | 0 346
117 100 2084 | 0 213
117 100 764 | 0 240
117 100 96 | 78 98
117 100 2550 | 0 229
117 100 237 | 0 277
117 100 1333 | 0 333
117 100 292 | 91 91
117 100 1656 | 109 99
117 100 204 | 97 95
117 100 1092 | 98 93
117 100 1377 | 0 264
117 100 1842 | 0 367
117 100 370 | 0 350
117 100 669 | 0 323
117 100 453 | 0 138
117 100 2443 | 0 252
117 100 264 | 0 471
117 100 1110 | 0 239
117 100 222 | 0 257
117 100 844 | 0 292
117 100 987 | 91 91
117 100 1757 | 0 218
117 100 1695 | 0 283
117 100 198 | 0 239
117 100 892 | 0 295
117 100 12 | 0 171
117 100 237 | 0 238
109 99 1052 | 90 92
117 100 375 | 0 228
117 100 167 | 90 92
117 100 1138 | 0 233
117 100 801 | 0 301
117 100 368 | 91 78
117 100 1602 | 0 303
117 100 618 | 0 323
117 100 1525 | 0 150
117 100 1547 | 77 86
117 100 1304 | 0 249
117 100 632 | 0 273
117 100 1444 | 0 197
117 100 493 | 0 271
117 100 805 | 99 97
117 100 1658 | 77 81
109 99 1697 | 0 176
117 100 464 | 84 88
117 100 625 | 117 100
117 100 352 | 0 154
117 100 335 | 71 77
117 100 2025 | 91 91
117 100 200 | 0 276
117 100 1059 | 0 259
117 100 1590 | 0 324
117 100 2518 | 0 297
117 100 278 | 0 225
117 100 305 | 79 85
117 100 2532 | 0 320
117 100 131 | 77 86
