109 99 914 | 0 209
117 100 364 | 89 98
117 100 878 | 0 209
117 100 56 | 0 192
117 100 1556 | 0 207
117 100 1620 | 0 321
117 100 1651 | 0 306
117 100 592 | 89 98
117 100 540 | 0 354
117 100 552 | 0 191
117 100 284 | 0 302
117 100 248 | 0 266
117 100 406 | 0 492
117 100 2435 | 91 91
117 100 124 | 84 88
117 100 328 | 105 96
117 100 740 | 0 257
117 100 72 | 0 276
117 100 1485 | 0 136
117 100 34 | 84 88
117 100 947 | 0 306
117 100 2920 | 0 232
117 100 94 | 83 90
117 100 1441 | 83 90
117 100 154 | 0 252
117 100 2928 | 0 195
117 100 1505 | 0 213
117 100 820 | 0 371
117 100 391 | 0 169
117 100 1649 | 0 196
117 100 128 | 0 224
117 100 626 | 0 371
117 100 514 | 0 404
117 100 78 | 99 97
117 100 1548 | 0 282
117 100 1748 | 0 271
117 100 612 | 83 90
117 100 732 | 0 297
117 100 546 | 0 202
117 100 1038 | 109 99
117 100 1474 | 84 88
117 100 784 | 0 226
109 99 114 | 77 86
117 100 268 | 0 330
117 100 568 | 0 340
117 100 1072 | 76 69
117 100 734 | 0 238
117 100 412 | 0 279
117 100 1344 | 0 246
117 100 50 | 0 301
117 100 34 | 83 90
117 100 2974 | 117 100
117 100 1613 | 0 283
117 100 444 | 0 249
117 100 492 | 0 168
117 100 1088 | 105 96
117 100 1013 | 0 287
117 100 754 | 0 309
117 100 232 | 0 274
117 100 462 | 0 223
117 100 1118 | 0 335
117 100 158 | 0 238
117 100 594 | 0 271
117 100 442 | 0 330
117 100 1394 | 0 304
117 100 92 | 91 91
117 100 567 | 0 262
117 100 410 | 0 368
117 100 1088 | 0 343
117 100 50 | 0 236
117 100 20 | 0 470
117 100 1264 | 0 349
117 100 2271 | 84 88
117 100 1002 | 63 76
117 100 402 | 0 199
117 100 570 | 91 78
117 100 487 | 0 257
117 100 86 | 0 190
109 99 1280 | 0 333
117 100 2491 | 77 86
117 100 240 | 0 242
117 100 2489 | 0 202
117 100 780 | 0 263
117 100 404 | 0 168
117 100 1062 | 0 254
117 100 554 | 83 90
117 100 1095 | 91 78
117 100 566 | 0 221
117 100 832 | 0 370
117 100 128 | 0 241
117 100 424 | 0 226
117 100 252 | 117 100
117 100 192 | 85 95
117 100 2371 | 0 216
117 100 72 | 0 241
117 100 850 | 0 356
117 100 370 | 0 244
117 100 46 | 83 90
117 100 932 | 0 330
117 100 1344 | 0 340
117 100 496 | 65 69
117 100 321 | 92 95
117 100 1604 | 0 338
117 100 1945 | 85 95
117 100 1748 | 0 251
117 100 878 | 0 155
117 100 829 | 78 98
117 100 870 | 0 375
109 99 876 | 0 298
117 100 1548 | 0 238
117 100 488 | 0 140
117 100 2068 | 0 199
117 100 174 | 77 86
106 100 1073 | 0 225
109 99 666 | 0 207
117 100 470 | 0 212
117 100 1290 | 0 213
117 100 104 | 92 95
117 100 222 | 0 269
117 100 2605 | 0 152
117 100 88 | 84 88
117 100 30 | 0 262
117 100 562 | 0 218
109 99 1588 | 79 85
117 100 696 | 0 228
117 100 252 | 0 428
117 100 448 | 0 278
117 100 654 | 0 198
109 99 2401 | 87 93
117 100 968 | 76 69
117 100 1936 | 85 95
117 100 604 | 91 91
117 100 112 | 98 93
117 100 1790 | 0 162
117 100 237 | 97 95
109 99 718 | 73 88
117 100 1549 | 97 95
117 100 2154 | 0 334
109 99 328 | 0 244
109 99 1232 | 0 194
117 100 1510 | 0 299
117 100 900 | 0 397
117 100 340 | 91 91
117 100 1454 | 0 271
117 100 254 | 0 132
117 100 422 | 0 245
117 100 224 | 0 254
109 99 90 | 73 88
117 100 1708 | 0 133
117 100 1548 | 85 74
117 100 1646 | 85 100
117 100 86 | 0 160
117 100 1379 | 0 176
117 100 2218 | 0 241
117 100 2230 | 106 100
117 100 1914 | 90 92
117 100 524 | 105 96
117 100 1798 | 0 330
109 99 677 | 90 92
117 100 2286 | 97 95
117 100 316 | 0 368
117 100 512 | 0 267
117 100 584 | 89 98
117 100 1126 | 0 354
117 100 885 | 99 97
117 100 8 | 109 99
117 100 1771 | 0 228
117 100 500 | 0 258
117 100 652 | 109 99
117 100 1768 | 0 185
117 100 1245 | 92 95
117 100 2022 | 0 302
117 100 178 | 0 243
117 100 8 | 0 368
117 100 80 | 0 321
117 100 1038 | 0 371
117 100 108 | 0 282
117 100 502 | 0 331
117 100 2898 | 0 247
117 100 102 | 0 135
109 99 74 | 0 330
117 100 1789 | 98 93
117 100 806 | 0 288
117 100 1100 | 0 169
117 100 120 | 0 183
117 100 24 | 77 86
109 99 536 | 0 180
117 100 252 | 98 93
117 100 894 | 89 98
117 100 816 | 0 363
117 100 977 | 99 97
117 100 1084 | 90 92
117 100 194 | 0 397
117 100 1304 | 87 93
117 100 1572 | 0 258
109 99 761 | 0 278
117 100 236 | 0 138
117 100 2016 | 0 154
117 100 58 | 117 100
117 100 390 | 91 91
117 100 706 | 98 93
117 100 86 | 0 351
117 100 590 | 78 98
117 100 622 | 0 283
117 100 200 | 0 211
117 100 2525 | 0 190
117 100 440 | 65 69
