117 100 168 | 0 171
117 100 2376 | 79 85
117 100 438 | 73 88
117 100 667 | 0 352
117 100 538 | 0 227
117 100 538 | 0 250
117 100 1439 | 0 372
117 100 1349 | 77 86
117 100 230 | 83 90
117 100 1001 | 0 426
117 100 664 | 105 96
117 100 2111 | 0 312
117 100 1186 | 65 69
117 100 23 | 0 306
117 100 136 | 117 100
117 100 404 | 0 314
117 100 160 | 0 294
117 100 224 | 92 95
117 100 552 | 0 283
117 100 1090 | 78 98
117 100 694 | 0 191
117 100 258 | 80 91
109 99 206 | 0 235
117 100 1156 | 0 330
117 100 2305 | 0 444
117 100 86 | 77 81
117 100 1299 | 83 90
117 100 1223 | 91 78
117 100 450 | 0 294
117 100 576 | 0 393
117 100 1099 | 0 264
117 100 2746 | 0 375
109 99 110 | 0 301
117 100 4 | 0 300
109 99 330 | 0 172
117 100 448 | 89 98
117 100 1640 | 92 95
117 100 178 | 0 345
117 100 395 | 85 74
117 100 475 | 0 176
117 100 90 | 0 224
117 100 518 | 0 257
117 100 512 | 0 193
117 100 858 | 0 423
117 100 8 | 0 172
117 100 636 | 0 210
117 100 368 | 87 93
117 100 1592 | 0 266
109 99 1800 | 0 235
117 100 2138 | 106 100
117 100 869 | 0 351
117 100 94 | 0 263
117 100 254 | 0 306
117 100 468 | 51 64
117 100 20 | 0 285
117 100 780 | 0 199
117 100 196 | 92 95
117 100 898 | 0 290
117 100 2144 | 0 230
117 100 586 | 0 266
117 100 66 | 0 397
117 100 104 | 0 320
117 100 492 | 0 252
117 100 2231 | 105 96
117 100 294 | 0 378
117 100 956 | 77 86
117 100 1044 | 91 91
117 100 218 | 90 92
117 100 1171 | 0 367
117 100 596 | 0 138
117 100 1158 | 105 96
117 100 459 | 0 349
117 100 2 | 106 100
117 100 230 | 78 98
117 100 2943 | 0 239
117 100 16 | 87 93
109 99 260 | 0 234
117 100 1043 | 0 198
117 100 980 | 0 306
117 100 1374 | 0 200
117 100 118 | 0 297
117 100 1630 | 0 327
117 100 1426 | 109 99
117 100 184 | 0 140
117 100 694 | 0 228
117 100 837 | 65 69
117 100 626 | 0 318
117 100 908 | 0 155
109 99 110 | 0 406
117 100 2302 | 0 219
117 100 668 | 65 69
117 100 1638 | 0 328
117 100 2 | 77 86
117 100 72 | 0 302
117 100 538 | 89 98
117 100 1454 | 0 192
117 100 8 | 0 199
117 100 988 | 0 232
117 100 1517 | 0 190
117 100 2751 | 90 92
117 100 1032 | 0 221
117 100 723 | 0 325
117 100 268 | 0 392
117 100 932 | 0 182
117 100 654 | 0 280
117 100 642 | 0 263
117 100 102 | 83 90
117 100 1090 | 0 371
117 100 1826 | 0 162
117 100 732 | 0 188
117 100 2886 | 76 69
117 100 12 | 0 306
109 99 304 | 0 382
117 100 760 | 98 93
117 100 388 | 0 259
117 100 52 | 0 214
117 100 734 | 99 97
117 100 361 | 58 66
117 100 1004 | 0 276
117 100 120 | 98 93
117 100 2106 | 0 260
117 100 492 | 99 97
117 100 2152 | 0 316
117 100 1663 | 0 240
117 100 46 | 0 117
117 100 2178 | 0 199
117 100 634 | 0 449
109 99 806 | 91 91
117 100 1468 | 0 260
117 100 1225 | 0 295
117 100 690 | 109 99
117 100 2189 | 0 258
117 100 820 | 0 238
117 100 1430 | 0 195
117 100 1034 | 0 337
117 100 790 | 0 342
117 100 328 | 0 404
117 100 306 | 0 370
117 100 300 | 91 91
117 100 539 | 0 223
117 100 700 | 0 309
117 100 658 | 105 96
117 100 1045 | 0 318
117 100 796 | 77 81
